logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B
NEXN	-1.4540064224192	-2.01696820802317	-0.891044636815232	2.67450122192904	-5.28948290869378	1.24038341159343e-05	0.00102936852257133	3.27599207279792
CD164	0.764568324119999	0.46836870024701	1.06076794799299	8.27463023038096	5.28637061850219	1.25098950282805e-05	0.00102936852257133	3.26792094758344
HLA.K	-0.945664784111841	-1.31202944541823	-0.579300122805451	2.36239818774828	-5.28627131655343	1.25132939945766e-05	0.00102936852257133	3.26766342300718
LPCAT1	0.592129685372736	0.362686321605769	0.821573049139702	3.09081558767725	5.28526955880597	1.25476346448139e-05	0.00102936852257133	3.26506550179681
CTSH	-2.22197646672917	-3.08306925371786	-1.36088367974049	5.86537714401137	-5.28463884182546	1.25693043857473e-05	0.00102936852257133	3.26342981075735
RSRP1	-0.658268528329384	-0.913586908737065	-0.402950147921702	6.46109301843538	-5.28015680625715	1.2724380890424e-05	0.00103530189972086	3.2518058835957
KIAA1755	-1.28758396226566	-1.78773761498709	-0.787430309544224	3.63500997846335	-5.27227339477637	1.30018178663753e-05	0.0010510501797786	3.23135945175255
RP11.693N9.2	-1.47928357588934	-2.05466221349793	-0.90390493828074	3.85974559427712	-5.26530472560901	1.32521142650951e-05	0.00105604478210571	3.21328424298185
EIF4EBP1	-0.740894102450715	-1.02912820574699	-0.452659999154437	4.79372854331873	-5.26425092691814	1.32903826197358e-05	0.00105604478210571	3.21055081863268
APOBEC3F	-0.754872311729998	-1.04858438194592	-0.461160241514078	2.59648159673469	-5.26353494357003	1.33164465740385e-05	0.00105604478210571	3.20869363093911
RBM17	-0.499660537068413	-0.694205024081069	-0.305116050055758	5.99049170432744	-5.25995381690641	1.34475823310226e-05	0.00105973714847619	3.19940437513926
BTN2A2	-0.75031663620902	-1.04283720529171	-0.457796067126328	2.85466742706388	-5.25307951948514	1.37029518341168e-05	0.00106805121755017	3.18157198377104
DRAM1	-0.809062561772112	-1.12458413541576	-0.493540988128465	4.83040775963402	-5.25144540531803	1.37643691108617e-05	0.00106805121755017	3.17733282505504
ERRFI1	1.60723895405697	0.980125954221079	2.23435195389287	7.99281858984961	5.24880519912081	1.38641840017335e-05	0.00106805121755017	3.17048357471741
FNDC1	-2.05591578344254	-2.85821380363656	-1.25361776324851	3.5039538227991	-5.24801912488334	1.38940421756327e-05	0.00106805121755017	3.16844430321397
CTBS	0.499477942510612	0.304302049738665	0.694653835282559	5.9748289176261	5.24102158522669	1.41626959234499e-05	0.00107632022186011	3.15029036190739
FNIP2	0.730414703296538	0.444982963340712	1.01584644325236	2.72416099260161	5.24074526879237	1.41734107427708e-05	0.00107632022186011	3.14957348389502
BMS1P4	-0.731553285444793	-1.01785706908612	-0.445249501803465	2.02258392428949	-5.23292712263411	1.44799716555054e-05	0.00109297617375592	3.12928935144339
ZNF267	-0.750857696801717	-1.04509099076061	-0.456624402842823	2.95626795999975	-5.22626746724756	1.47463476693907e-05	0.00110641758261955	3.11200993613994
RND1	-1.48378797623735	-2.06638319683623	-0.901192755638471	1.78664973938223	-5.21591780377515	1.51701077459687e-05	0.00113143720272017	3.08515455842452
RP11.403P17.3	0.510155185955892	0.309715741343465	0.710594630568319	5.08328449061345	5.21248626938947	1.53132889782722e-05	0.00113535805264941	3.07624994485167
ESPL1	0.931957108302861	0.564886781954974	1.29902743465075	1.45579411933703	5.19963018321498	1.58618671807519e-05	0.00116528430833574	3.0428873444627
SYNGR1	-0.906846866542876	-1.26412393774576	-0.549569795339993	3.41327956207977	-5.1982195708619	1.59232463727967e-05	0.00116528430833574	3.03922651540615
F2R	-1.32456137550249	-1.84657549744025	-0.802547253564726	1.79485008521506	-5.19655638104	1.59959218702113e-05	0.00116528430833574	3.03491015306957
PEAK1	-0.574127287444461	-0.800802501003899	-0.347452073885023	3.07642434418371	-5.18716382050327	1.64126311705383e-05	0.00118872987610893	3.0105334380605
TMCO3	0.503077359071964	0.304101565897872	0.702053152246056	5.63568332913737	5.17797961896129	1.68306203653219e-05	0.00120554103902708	2.98669614838762
MED28	-0.472651438057944	-0.659605761481053	-0.285697114634835	5.12371907954622	-5.177633190052	1.68465941581677e-05	0.00120554103902708	2.98579697895075
TRO	-0.84521717185226	-1.17967001702959	-0.510764326674933	4.19499079274181	-5.17558238229077	1.69414684478469e-05	0.00120554103902708	2.98047399341884
TPST2	0.870507613529063	0.525921190273093	1.21509403678503	4.55293886636558	5.17368782775632	1.70295900963922e-05	0.00120554103902708	2.9755565179032
SSBP2	-0.503756090186464	-0.703319229588185	-0.304192950784742	6.49896544171208	-5.16970535177869	1.72163285889785e-05	0.00121191346752753	2.96521950119611
